epsilon,contrast,accept,risk
0.050,FLAIR,0.000000,
0.050,T1,0.000000,
0.050,T2,0.000000,
0.050,overall,0.000000,
0.075,FLAIR,0.000000,
0.075,T1,0.000000,
0.075,T2,0.000000,
0.075,overall,0.000000,
0.100,FLAIR,0.000000,
0.100,T1,0.000000,
0.100,T2,0.000000,
0.100,overall,0.000000,
0.125,FLAIR,0.000000,
0.125,T1,0.000000,
0.125,T2,0.000000,
0.125,overall,0.000000,
0.150,FLAIR,0.000000,
0.150,T1,0.899306,0.116192
0.150,T2,0.000000,
0.150,overall,0.299769,0.116192
0.175,FLAIR,0.000000,
0.175,T1,1.000000,0.118901
0.175,T2,0.000000,
0.175,overall,0.333333,0.118901
0.200,FLAIR,0.000000,
0.200,T1,1.000000,0.118901
0.200,T2,1.000000,0.159847
0.200,overall,0.666667,0.139374
0.225,FLAIR,0.836806,0.185175
0.225,T1,1.000000,0.118901
0.225,T2,1.000000,0.159847
0.225,overall,0.945602,0.152884
0.250,FLAIR,1.000000,0.191050
0.250,T1,1.000000,0.118901
0.250,T2,1.000000,0.159847
0.250,overall,1.000000,0.156599
0.275,FLAIR,1.000000,0.191050
0.275,T1,1.000000,0.118901
0.275,T2,1.000000,0.159847
0.275,overall,1.000000,0.156599
0.300,FLAIR,1.000000,0.191050
0.300,T1,1.000000,0.118901
0.300,T2,1.000000,0.159847
0.300,overall,1.000000,0.156599
0.325,FLAIR,1.000000,0.191050
0.325,T1,1.000000,0.118901
0.325,T2,1.000000,0.159847
0.325,overall,1.000000,0.156599
0.350,FLAIR,1.000000,0.191050
0.350,T1,1.000000,0.118901
0.350,T2,1.000000,0.159847
0.350,overall,1.000000,0.156599
0.375,FLAIR,1.000000,0.191050
0.375,T1,1.000000,0.118901
0.375,T2,1.000000,0.159847
0.375,overall,1.000000,0.156599
0.400,FLAIR,1.000000,0.191050
0.400,T1,1.000000,0.118901
0.400,T2,1.000000,0.159847
0.400,overall,1.000000,0.156599
0.425,FLAIR,1.000000,0.191050
0.425,T1,1.000000,0.118901
0.425,T2,1.000000,0.159847
0.425,overall,1.000000,0.156599
0.450,FLAIR,1.000000,0.191050
0.450,T1,1.000000,0.118901
0.450,T2,1.000000,0.159847
0.450,overall,1.000000,0.156599
0.475,FLAIR,1.000000,0.191050
0.475,T1,1.000000,0.118901
0.475,T2,1.000000,0.159847
0.475,overall,1.000000,0.156599
0.500,FLAIR,1.000000,0.191050
0.500,T1,1.000000,0.118901
0.500,T2,1.000000,0.159847
0.500,overall,1.000000,0.156599
0.525,FLAIR,1.000000,0.191050
0.525,T1,1.000000,0.118901
0.525,T2,1.000000,0.159847
0.525,overall,1.000000,0.156599
0.550,FLAIR,1.000000,0.191050
0.550,T1,1.000000,0.118901
0.550,T2,1.000000,0.159847
0.550,overall,1.000000,0.156599
0.575,FLAIR,1.000000,0.191050
0.575,T1,1.000000,0.118901
0.575,T2,1.000000,0.159847
0.575,overall,1.000000,0.156599
0.600,FLAIR,1.000000,0.191050
0.600,T1,1.000000,0.118901
0.600,T2,1.000000,0.159847
0.600,overall,1.000000,0.156599
